username,review,rating,date,likes,sentiment,language,case_folding,cleaning,token,stopword,stemming,processed_text
Wuri Marsela,Gabisa upload CV kenapa yaa,3,2023-11-30 17:22:41,1,netral,id,gabisa upload cv kenapa yaa,gabisa upload cv kenapa yaa,"['gabisa', 'upload', 'cv', 'kenapa', 'yaa']","['gabisa', 'upload', 'cv', 'yaa']","['gabisa', 'upload', 'cv', 'yaa']",gabisa upload cv yaa
Dimas Eriko Prasetyo 12,Aplikasi terlalu rumit untuk pengguna baru.,1,2023-11-29 09:32:37,0,negatif,id,aplikasi terlalu rumit untuk pengguna baru.,aplikasi terlalu rumit untuk pengguna baru,"['aplikasi', 'terlalu', 'rumit', 'untuk', 'pengguna', 'baru']","['aplikasi', 'rumit', 'pengguna']","['aplikasi', 'rumit', 'guna']",aplikasi rumit guna
Diana Malau,The best plattform to get a good job,5,2023-11-28 02:13:28,0,positif,en,the best plattform to get a good job,the best plattform to get a good job,"['the', 'best', 'plattform', 'to', 'get', 'a', 'good', 'job']","['best', 'plattform', 'get', 'good', 'job']","['best', 'plattform', 'get', 'good', 'job']",best plattform get good job
IcanDAO,belum juga dapet job sampe sekarang,4,2023-11-25 02:56:25,0,positif,id,belum juga dapet job sampe sekarang,belum juga dapet job sampe sekarang,"['belum', 'juga', 'dapet', 'job', 'sampe', 'sekarang']","['dapet', 'job', 'sampe']","['dapet', 'job', 'sampe']",dapet job sampe
Tekno Konten,Senang bisa nemu aplikasi job bule yang mantappp,5,2023-11-19 10:15:15,0,positif,id,senang bisa nemu aplikasi job bule yang mantappp,senang bisa nemu aplikasi job bule yang mantappp,"['senang', 'bisa', 'nemu', 'aplikasi', 'job', 'bule', 'yang', 'mantappp']","['senang', 'nemu', 'aplikasi', 'job', 'bule', 'mantappp']","['senang', 'nemu', 'aplikasi', 'job', 'bule', 'mantappp']",senang nemu aplikasi job bule mantappp
Linawati Leksmana,Aplikasi yang bagus untuk freelancer,5,2023-11-18 00:19:58,2,positif,id,aplikasi yang bagus untuk freelancer,aplikasi yang bagus untuk freelancer,"['aplikasi', 'yang', 'bagus', 'untuk', 'freelancer']","['aplikasi', 'bagus', 'freelancer']","['aplikasi', 'bagus', 'freelancer']",aplikasi bagus freelancer
Nanik Sofiatun,Aplikasinya bagus,5,2023-11-13 13:14:31,0,positif,id,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']","['aplikasinya', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus
igum guitara,Nice app for help people to get a job,5,2023-11-12 09:43:50,0,positif,en,nice app for help people to get a job,nice app for help people to get a job,"['nice', 'app', 'for', 'help', 'people', 'to', 'get', 'a', 'job']","['nice', 'app', 'help', 'people', 'get', 'job']","['nice', 'app', 'help', 'peopl', 'get', 'job']",nice app help peopl get job
awal levine,"Aplikasi nggak bisa dibuka, apa karena hp saya android? Kalo udah ada jawaban & bisa saya akses nanti ratting nya saya perbaiki min 🙏",1,2023-11-11 00:17:21,7,negatif,id,"aplikasi nggak bisa dibuka, apa karena hp saya android? kalo udah ada jawaban & bisa saya akses nanti ratting nya saya perbaiki min 🙏",aplikasi nggak bisa dibuka apa karena hp saya android kalo udah ada jawaban  bisa saya akses nanti ratting nya saya perbaiki min,"['aplikasi', 'nggak', 'bisa', 'dibuka', 'apa', 'karena', 'hp', 'saya', 'android', 'kalo', 'udah', 'ada', 'jawaban', 'bisa', 'saya', 'akses', 'nanti', 'ratting', 'nya', 'saya', 'perbaiki', 'min']","['aplikasi', 'nggak', 'dibuka', 'hp', 'android', 'kalo', 'udah', 'akses', 'ratting', 'nya', 'perbaiki', 'min']","['aplikasi', 'nggak', 'buka', 'hp', 'android', 'kalo', 'udah', 'akses', 'ratting', 'nya', 'baik', 'min']",aplikasi nggak buka hp android kalo udah akses ratting nya baik min
cynthia fortunella,Tidak bisa buka aplikasiny dr hp android,1,2023-11-08 14:42:27,3,negatif,id,tidak bisa buka aplikasiny dr hp android,tidak bisa buka aplikasiny dr hp android,"['tidak', 'bisa', 'buka', 'aplikasiny', 'dr', 'hp', 'android']","['buka', 'aplikasiny', 'dr', 'hp', 'android']","['buka', 'aplikasiny', 'dr', 'hp', 'android']",buka aplikasiny dr hp android
Yogi Perdana Putra,Ngeleg parah,1,2023-11-02 07:58:48,0,negatif,id,ngeleg parah,ngeleg parah,"['ngeleg', 'parah']","['ngeleg', 'parah']","['ngeleg', 'parah']",ngeleg parah
Rian Partirawa,Easy to use..,4,2023-11-02 03:11:26,0,positif,en,easy to use..,easy to use,"['easy', 'to', 'use']","['easy', 'use']","['easi', 'use']",easi use
Maulana Rama,Sangat recomended,5,2023-11-01 10:20:07,0,positif,en,sangat recomended,sangat recomended,"['sangat', 'recomended']","['sangat', 'recomended']","['sangat', 'recomend']",sangat recomend
muchlas playstore,Great app,5,2023-10-28 13:50:24,0,positif,en,great app,great app,"['great', 'app']","['great', 'app']","['great', 'app']",great app
Nurliana,Daftarnya susah banget,1,2023-10-27 18:46:31,2,negatif,id,daftarnya susah banget,daftarnya susah banget,"['daftarnya', 'susah', 'banget']","['daftarnya', 'susah', 'banget']","['daftar', 'susah', 'banget']",daftar susah banget
Novi Novi Aulia Anjani,"Hati hati buat pengguna up work, tidak semua pemberi kerja itu aktif, ada juga yang di arahkan ke telegram, dan itu penipuan, saya sudah mengalaminya, pekerjaan sudah selesai ujungnya saya malah harus kirim uang bukan dibayar. Hati² dalam memilihnya, saran saya: Lihat Verifikasi pembayaran, Nilai Spent nya, jumlah proposal dan review client. Semoga menjadi hikmah bersama",5,2023-10-25 13:20:56,209,positif,id,"hati hati buat pengguna up work, tidak semua pemberi kerja itu aktif, ada juga yang di arahkan ke telegram, dan itu penipuan, saya sudah mengalaminya, pekerjaan sudah selesai ujungnya saya malah harus kirim uang bukan dibayar. hati² dalam memilihnya, saran saya: lihat verifikasi pembayaran, nilai spent nya, jumlah proposal dan review client. semoga menjadi hikmah bersama",hati hati buat pengguna up work tidak semua pemberi kerja itu aktif ada juga yang di arahkan ke telegram dan itu penipuan saya sudah mengalaminya pekerjaan sudah selesai ujungnya saya malah harus kirim uang bukan dibayar hati² dalam memilihnya saran saya lihat verifikasi pembayaran nilai spent nya jumlah proposal dan review client semoga menjadi hikmah bersama,"['hati', 'hati', 'buat', 'pengguna', 'up', 'work', 'tidak', 'semua', 'pemberi', 'kerja', 'itu', 'aktif', 'ada', 'juga', 'yang', 'di', 'arahkan', 'ke', 'telegram', 'dan', 'itu', 'penipuan', 'saya', 'sudah', 'mengalaminya', 'pekerjaan', 'sudah', 'selesai', 'ujungnya', 'saya', 'malah', 'harus', 'kirim', 'uang', 'bukan', 'dibayar', 'hati²', 'dalam', 'memilihnya', 'saran', 'saya', 'lihat', 'verifikasi', 'pembayaran', 'nilai', 'spent', 'nya', 'jumlah', 'proposal', 'dan', 'review', 'client', 'semoga', 'menjadi', 'hikmah', 'bersama']","['hati', 'hati', 'pengguna', 'up', 'work', 'pemberi', 'kerja', 'aktif', 'arahkan', 'telegram', 'penipuan', 'mengalaminya', 'pekerjaan', 'selesai', 'ujungnya', 'kirim', 'uang', 'dibayar', 'hati²', 'memilihnya', 'saran', 'lihat', 'verifikasi', 'pembayaran', 'nilai', 'spent', 'nya', 'proposal', 'review', 'client', 'semoga', 'hikmah']","['hati', 'hati', 'guna', 'up', 'work', 'beri', 'kerja', 'aktif', 'arah', 'telegram', 'tipu', 'alam', 'kerja', 'selesai', 'ujung', 'kirim', 'uang', 'bayar', 'hati', 'pilih', 'saran', 'lihat', 'verifikasi', 'bayar', 'nilai', 'spent', 'nya', 'proposal', 'review', 'client', 'moga', 'hikmah']",hati hati guna up work beri kerja aktif arah telegram tipu alam kerja selesai ujung kirim uang bayar hati pilih saran lihat verifikasi bayar nilai spent nya proposal review client moga hikmah
Joko Ridwan,Great apps,5,2023-10-23 04:33:19,0,positif,en,great apps,great apps,"['great', 'apps']","['great', 'apps']","['great', 'app']",great app
Roy Hulu,"You have to buy a 'connect' to apply for work, it's very expensive",1,2023-10-21 14:50:00,0,negatif,en,"you have to buy a 'connect' to apply for work, it's very expensive",you have to buy a connect to apply for work its very expensive,"['you', 'have', 'to', 'buy', 'a', 'connect', 'to', 'apply', 'for', 'work', 'its', 'very', 'expensive']","['buy', 'connect', 'apply', 'work', 'expensive']","['buy', 'connect', 'appli', 'work', 'expens']",buy connect appli work expens
ikankoi,"oke, rate 4 dulu. nanti kalau bersih dari penipuan baru rate 5",4,2023-10-20 00:15:43,3,positif,id,"oke, rate 4 dulu. nanti kalau bersih dari penipuan baru rate 5",oke rate  dulu nanti kalau bersih dari penipuan baru rate,"['oke', 'rate', 'dulu', 'nanti', 'kalau', 'bersih', 'dari', 'penipuan', 'baru', 'rate']","['oke', 'rate', 'bersih', 'penipuan', 'rate']","['oke', 'rate', 'bersih', 'tipu', 'rate']",oke rate bersih tipu rate
sJimm,Ribwt di penarikanya bintang 1,1,2023-10-17 23:03:22,0,negatif,id,ribwt di penarikanya bintang 1,ribwt di penarikanya bintang,"['ribwt', 'di', 'penarikanya', 'bintang']","['ribwt', 'penarikanya', 'bintang']","['ribwt', 'penarikanya', 'bintang']",ribwt penarikanya bintang
zz,Time localnya ga akurat,1,2023-10-12 03:05:37,1,negatif,id,time localnya ga akurat,time localnya ga akurat,"['time', 'localnya', 'ga', 'akurat']","['time', 'localnya', 'ga', 'akurat']","['time', 'localnya', 'ga', 'akurat']",time localnya ga akurat
Emir Acar,"Highly not recommended, there are lots of scammers in it. I've been cheated twice. And the Upwork team is not helpful at all. Never take translation jobs if they are from ""klett services"" they are scammers.",1,2023-09-30 11:54:37,0,negatif,en,"highly not recommended, there are lots of scammers in it. i've been cheated twice. and the upwork team is not helpful at all. never take translation jobs if they are from ""klett services"" they are scammers.",highly not recommended there are lots of scammers in it ive been cheated twice and the upwork team is not helpful at all never take translation jobs if they are from klett services they are scammers,"['highly', 'not', 'recommended', 'there', 'are', 'lots', 'of', 'scammers', 'in', 'it', 'ive', 'been', 'cheated', 'twice', 'and', 'the', 'upwork', 'team', 'is', 'not', 'helpful', 'at', 'all', 'never', 'take', 'translation', 'jobs', 'if', 'they', 'are', 'from', 'klett', 'services', 'they', 'are', 'scammers']","['highly', 'recommended', 'lots', 'scammers', 'ive', 'cheated', 'twice', 'upwork', 'team', 'helpful', 'never', 'take', 'translation', 'jobs', 'klett', 'services', 'scammers']","['highli', 'recommend', 'lot', 'scammer', 'ive', 'cheat', 'twice', 'upwork', 'team', 'help', 'never', 'take', 'translat', 'job', 'klett', 'servic', 'scammer']",highli recommend lot scammer ive cheat twice upwork team help never take translat job klett servic scammer
Lucky Satria,Harus membayar jika ining melamar,4,2023-09-19 07:56:59,0,positif,id,harus membayar jika ining melamar,harus membayar jika ining melamar,"['harus', 'membayar', 'jika', 'ining', 'melamar']","['membayar', 'ining', 'melamar']","['bayar', 'ining', 'lamar']",bayar ining lamar
Dongeng Kak fai,Mantab,5,2023-09-17 12:10:39,0,positif,id,mantab,mantab,['mantab'],['mantab'],['mantab'],mantab
Agus Suga,Good application for freelancer,5,2023-09-17 05:12:30,0,positif,en,good application for freelancer,good application for freelancer,"['good', 'application', 'for', 'freelancer']","['good', 'application', 'freelancer']","['good', 'applic', 'freelanc']",good applic freelanc
Elvin Julvian,Bayaran nya kok dipending lama bgt dah mau seminggu,3,2023-08-31 02:14:42,4,netral,id,bayaran nya kok dipending lama bgt dah mau seminggu,bayaran nya kok dipending lama bgt dah mau seminggu,"['bayaran', 'nya', 'kok', 'dipending', 'lama', 'bgt', 'dah', 'mau', 'seminggu']","['bayaran', 'nya', 'dipending', 'bgt', 'dah', 'seminggu']","['bayar', 'nya', 'pending', 'bgt', 'dah', 'minggu']",bayar nya pending bgt dah minggu
Syahrumi Andi baso,Upwork for freelancer is the best app,5,2023-08-29 22:27:58,0,positif,en,upwork for freelancer is the best app,upwork for freelancer is the best app,"['upwork', 'for', 'freelancer', 'is', 'the', 'best', 'app']","['upwork', 'freelancer', 'best', 'app']","['upwork', 'freelanc', 'best', 'app']",upwork freelanc best app
Dwi F Mulyanto,yuk pecah telur,5,2023-08-29 14:42:28,0,positif,id,yuk pecah telur,yuk pecah telur,"['yuk', 'pecah', 'telur']","['yuk', 'pecah', 'telur']","['yuk', 'pecah', 'telur']",yuk pecah telur
faudzy gaming store,"Ngakak bet liat yg ke scam, lu bego apa gimana? Kan udah ada aplikasi, kalau di ajak keluar aplikasi ya jangan mau lah. Aplikasi sudah memberikan keaman kok malah ambil jalur sendiri udah gitu nyalahin aplikasi spam bintang 1",5,2023-08-23 22:11:28,46,positif,id,"ngakak bet liat yg ke scam, lu bego apa gimana? kan udah ada aplikasi, kalau di ajak keluar aplikasi ya jangan mau lah. aplikasi sudah memberikan keaman kok malah ambil jalur sendiri udah gitu nyalahin aplikasi spam bintang 1",ngakak bet liat yg ke scam lu bego apa gimana kan udah ada aplikasi kalau di ajak keluar aplikasi ya jangan mau lah aplikasi sudah memberikan keaman kok malah ambil jalur sendiri udah gitu nyalahin aplikasi spam bintang,"['ngakak', 'bet', 'liat', 'yg', 'ke', 'scam', 'lu', 'bego', 'apa', 'gimana', 'kan', 'udah', 'ada', 'aplikasi', 'kalau', 'di', 'ajak', 'keluar', 'aplikasi', 'ya', 'jangan', 'mau', 'lah', 'aplikasi', 'sudah', 'memberikan', 'keaman', 'kok', 'malah', 'ambil', 'jalur', 'sendiri', 'udah', 'gitu', 'nyalahin', 'aplikasi', 'spam', 'bintang']","['ngakak', 'bet', 'liat', 'yg', 'scam', 'lu', 'bego', 'gimana', 'udah', 'aplikasi', 'ajak', 'aplikasi', 'ya', 'aplikasi', 'keaman', 'ambil', 'jalur', 'udah', 'gitu', 'nyalahin', 'aplikasi', 'spam', 'bintang']","['ngakak', 'bet', 'liat', 'yg', 'scam', 'lu', 'bego', 'gimana', 'udah', 'aplikasi', 'ajak', 'aplikasi', 'ya', 'aplikasi', 'aman', 'ambil', 'jalur', 'udah', 'gitu', 'nyalahin', 'aplikasi', 'spam', 'bintang']",ngakak bet liat yg scam lu bego gimana udah aplikasi ajak aplikasi ya aplikasi aman ambil jalur udah gitu nyalahin aplikasi spam bintang
Anas Bukhori,"Please remove the system of using connects, only apply the profit sharing system for completed jobs. because there are too many scam jobs. the seller loses money and doesn't get a job. not worth it for people need a job.",3,2023-08-22 17:22:42,2,netral,en,"please remove the system of using connects, only apply the profit sharing system for completed jobs. because there are too many scam jobs. the seller loses money and doesn't get a job. not worth it for people need a job.",please remove the system of using connects only apply the profit sharing system for completed jobs because there are too many scam jobs the seller loses money and doesnt get a job not worth it for people need a job,"['please', 'remove', 'the', 'system', 'of', 'using', 'connects', 'only', 'apply', 'the', 'profit', 'sharing', 'system', 'for', 'completed', 'jobs', 'because', 'there', 'are', 'too', 'many', 'scam', 'jobs', 'the', 'seller', 'loses', 'money', 'and', 'doesnt', 'get', 'a', 'job', 'not', 'worth', 'it', 'for', 'people', 'need', 'a', 'job']","['please', 'remove', 'system', 'using', 'connects', 'apply', 'profit', 'sharing', 'system', 'completed', 'jobs', 'many', 'scam', 'jobs', 'seller', 'loses', 'money', 'doesnt', 'get', 'job', 'worth', 'people', 'need', 'job']","['pleas', 'remov', 'system', 'use', 'connect', 'appli', 'profit', 'share', 'system', 'complet', 'job', 'mani', 'scam', 'job', 'seller', 'lose', 'money', 'doesnt', 'get', 'job', 'worth', 'peopl', 'need', 'job']",pleas remov system use connect appli profit share system complet job mani scam job seller lose money doesnt get job worth peopl need job
Andri Andriana,Good app for freelancer and client.,5,2023-08-22 09:40:36,0,positif,en,good app for freelancer and client.,good app for freelancer and client,"['good', 'app', 'for', 'freelancer', 'and', 'client']","['good', 'app', 'freelancer', 'client']","['good', 'app', 'freelanc', 'client']",good app freelanc client
Banu Nurrohman,Nice aplication,5,2023-08-18 05:17:41,0,positif,en,nice aplication,nice aplication,"['nice', 'aplication']","['nice', 'aplication']","['nice', 'aplic']",nice aplic
Barto Damanik,Coba dulu kalau dapat order dan dapat uang baru kasih full,1,2023-08-15 01:43:53,0,negatif,id,coba dulu kalau dapat order dan dapat uang baru kasih full,coba dulu kalau dapat order dan dapat uang baru kasih full,"['coba', 'dulu', 'kalau', 'dapat', 'order', 'dan', 'dapat', 'uang', 'baru', 'kasih', 'full']","['coba', 'order', 'uang', 'kasih', 'full']","['coba', 'order', 'uang', 'kasih', 'full']",coba order uang kasih full
Didit Khalif,"Apps bagus, cocok untuk yg ingin tambahan penghasilan. Pemicu kita untuk tingkatkan skill kita dan bersaing dengan freelancer lain",5,2023-08-06 10:56:14,11,positif,id,"apps bagus, cocok untuk yg ingin tambahan penghasilan. pemicu kita untuk tingkatkan skill kita dan bersaing dengan freelancer lain",apps bagus cocok untuk yg ingin tambahan penghasilan pemicu kita untuk tingkatkan skill kita dan bersaing dengan freelancer lain,"['apps', 'bagus', 'cocok', 'untuk', 'yg', 'ingin', 'tambahan', 'penghasilan', 'pemicu', 'kita', 'untuk', 'tingkatkan', 'skill', 'kita', 'dan', 'bersaing', 'dengan', 'freelancer', 'lain']","['apps', 'bagus', 'cocok', 'yg', 'tambahan', 'penghasilan', 'pemicu', 'tingkatkan', 'skill', 'bersaing', 'freelancer']","['apps', 'bagus', 'cocok', 'yg', 'tambah', 'hasil', 'picu', 'tingkat', 'skill', 'saing', 'freelancer']",apps bagus cocok yg tambah hasil picu tingkat skill saing freelancer
Fitriani Buhaerah,"Kerja di sini emang worth it tapi harus HATI-HATI!!! BANYAK SCAMMERSNYA intinya kalo kerja, jangan mau disuruh deposit atau kirim data pribadi. Terus kalau dialihkan ke tele tanpa ada kontrak jangan kerjakan projeknya. Itu PENIPUAN!",4,2023-07-30 22:02:36,21,positif,id,"kerja di sini emang worth it tapi harus hati-hati!!! banyak scammersnya intinya kalo kerja, jangan mau disuruh deposit atau kirim data pribadi. terus kalau dialihkan ke tele tanpa ada kontrak jangan kerjakan projeknya. itu penipuan!",kerja di sini emang worth it tapi harus hatihati banyak scammersnya intinya kalo kerja jangan mau disuruh deposit atau kirim data pribadi terus kalau dialihkan ke tele tanpa ada kontrak jangan kerjakan projeknya itu penipuan,"['kerja', 'di', 'sini', 'emang', 'worth', 'it', 'tapi', 'harus', 'hatihati', 'banyak', 'scammersnya', 'intinya', 'kalo', 'kerja', 'jangan', 'mau', 'disuruh', 'deposit', 'atau', 'kirim', 'data', 'pribadi', 'terus', 'kalau', 'dialihkan', 'ke', 'tele', 'tanpa', 'ada', 'kontrak', 'jangan', 'kerjakan', 'projeknya', 'itu', 'penipuan']","['kerja', 'emang', 'worth', 'it', 'hatihati', 'scammersnya', 'intinya', 'kalo', 'kerja', 'disuruh', 'deposit', 'kirim', 'data', 'pribadi', 'dialihkan', 'tele', 'kontrak', 'kerjakan', 'projeknya', 'penipuan']","['kerja', 'emang', 'worth', 'it', 'hatihati', 'scammersnya', 'inti', 'kalo', 'kerja', 'suruh', 'deposit', 'kirim', 'data', 'pribadi', 'alih', 'tele', 'kontrak', 'kerja', 'projeknya', 'tipu']",kerja emang worth it hatihati scammersnya inti kalo kerja suruh deposit kirim data pribadi alih tele kontrak kerja projeknya tipu
Tiara Citra,"Ga ush download guys, banyak scamnya skrg. Contoh scam disuruh hubungi lewat email + tele. Trs pas mau bayar mereka minta fee, pokonya jangan mau deh",1,2023-07-30 15:34:35,38,negatif,id,"ga ush download guys, banyak scamnya skrg. contoh scam disuruh hubungi lewat email + tele. trs pas mau bayar mereka minta fee, pokonya jangan mau deh",ga ush download guys banyak scamnya skrg contoh scam disuruh hubungi lewat email  tele trs pas mau bayar mereka minta fee pokonya jangan mau deh,"['ga', 'ush', 'download', 'guys', 'banyak', 'scamnya', 'skrg', 'contoh', 'scam', 'disuruh', 'hubungi', 'lewat', 'email', 'tele', 'trs', 'pas', 'mau', 'bayar', 'mereka', 'minta', 'fee', 'pokonya', 'jangan', 'mau', 'deh']","['ga', 'ush', 'download', 'guys', 'scamnya', 'skrg', 'contoh', 'scam', 'disuruh', 'hubungi', 'email', 'tele', 'trs', 'pas', 'bayar', 'fee', 'pokonya', 'deh']","['ga', 'ush', 'download', 'guys', 'scamnya', 'skrg', 'contoh', 'scam', 'suruh', 'hubung', 'email', 'tele', 'trs', 'pas', 'bayar', 'fee', 'poko', 'deh']",ga ush download guys scamnya skrg contoh scam suruh hubung email tele trs pas bayar fee poko deh
yasi huji,Semoga bisa menjadi salah satu sarana rezeki saya. Aamiin..,5,2023-07-25 11:49:23,0,positif,id,semoga bisa menjadi salah satu sarana rezeki saya. aamiin..,semoga bisa menjadi salah satu sarana rezeki saya aamiin,"['semoga', 'bisa', 'menjadi', 'salah', 'satu', 'sarana', 'rezeki', 'saya', 'aamiin']","['semoga', 'salah', 'sarana', 'rezeki', 'aamiin']","['moga', 'salah', 'sarana', 'rezeki', 'aamiin']",moga salah sarana rezeki aamiin
Andika Septiawan,Mohon atasi scam,3,2023-07-17 06:25:43,1,netral,id,mohon atasi scam,mohon atasi scam,"['mohon', 'atasi', 'scam']","['mohon', 'atasi', 'scam']","['mohon', 'atas', 'scam']",mohon atas scam
Fais,"jelek parah ga bisa ngecek profile akun client,masa tiap lamar proposal point kita berkurang. berkurang iya nambah saldo engga. mana kalo nau nambah point make duit lagi",1,2023-07-09 14:16:56,10,negatif,id,"jelek parah ga bisa ngecek profile akun client,masa tiap lamar proposal point kita berkurang. berkurang iya nambah saldo engga. mana kalo nau nambah point make duit lagi",jelek parah ga bisa ngecek profile akun clientmasa tiap lamar proposal point kita berkurang berkurang iya nambah saldo engga mana kalo nau nambah point make duit lagi,"['jelek', 'parah', 'ga', 'bisa', 'ngecek', 'profile', 'akun', 'clientmasa', 'tiap', 'lamar', 'proposal', 'point', 'kita', 'berkurang', 'berkurang', 'iya', 'nambah', 'saldo', 'engga', 'mana', 'kalo', 'nau', 'nambah', 'point', 'make', 'duit', 'lagi']","['jelek', 'parah', 'ga', 'ngecek', 'profile', 'akun', 'clientmasa', 'lamar', 'proposal', 'point', 'berkurang', 'berkurang', 'iya', 'nambah', 'saldo', 'engga', 'kalo', 'nau', 'nambah', 'point', 'make', 'duit']","['jelek', 'parah', 'ga', 'ngecek', 'profile', 'akun', 'clientmasa', 'lamar', 'proposal', 'point', 'kurang', 'kurang', 'iya', 'nambah', 'saldo', 'engga', 'kalo', 'nau', 'nambah', 'point', 'make', 'duit']",jelek parah ga ngecek profile akun clientmasa lamar proposal point kurang kurang iya nambah saldo engga kalo nau nambah point make duit
BANG BREWOK,Very Nice,5,2023-07-07 02:26:39,0,positif,en,very nice,very nice,"['very', 'nice']",['nice'],['nice'],nice
Laila Mayasari,Aplikasi yang bagus baik dan menyenangkan,5,2023-07-04 10:28:18,0,positif,id,aplikasi yang bagus baik dan menyenangkan,aplikasi yang bagus baik dan menyenangkan,"['aplikasi', 'yang', 'bagus', 'baik', 'dan', 'menyenangkan']","['aplikasi', 'bagus', 'menyenangkan']","['aplikasi', 'bagus', 'senang']",aplikasi bagus senang
P Pandu Wijaya,"Thank you, finally i get a job!!",5,2023-06-29 10:45:45,0,positif,en,"thank you, finally i get a job!!",thank you finally i get a job,"['thank', 'you', 'finally', 'i', 'get', 'a', 'job']","['thank', 'finally', 'get', 'job']","['thank', 'final', 'get', 'job']",thank final get job
Arfi Yanto,"I like the app and your fiture, but i was Tricked Twice from this, i was a freelance, i hope you can help me, just i freelance's comment",3,2023-06-25 12:58:19,0,netral,en,"i like the app and your fiture, but i was tricked twice from this, i was a freelance, i hope you can help me, just i freelance's comment",i like the app and your fiture but i was tricked twice from this i was a freelance i hope you can help me just i freelances comment,"['i', 'like', 'the', 'app', 'and', 'your', 'fiture', 'but', 'i', 'was', 'tricked', 'twice', 'from', 'this', 'i', 'was', 'a', 'freelance', 'i', 'hope', 'you', 'can', 'help', 'me', 'just', 'i', 'freelances', 'comment']","['like', 'app', 'fiture', 'tricked', 'twice', 'freelance', 'hope', 'help', 'freelances', 'comment']","['like', 'app', 'fitur', 'trick', 'twice', 'freelanc', 'hope', 'help', 'freelanc', 'comment']",like app fitur trick twice freelanc hope help freelanc comment
akbar maulana,"Banyak scammernya,masa mau ambil bayaran nya harus deposit dulu udah itu bertelepon tele urusan nya. Saya harap upwork lebih bijak lagi dalam memilih mana yang bener bener klien atau bukan (penipu)",1,2023-06-25 06:40:32,40,negatif,id,"banyak scammernya,masa mau ambil bayaran nya harus deposit dulu udah itu bertelepon tele urusan nya. saya harap upwork lebih bijak lagi dalam memilih mana yang bener bener klien atau bukan (penipu)",banyak scammernyamasa mau ambil bayaran nya harus deposit dulu udah itu bertelepon tele urusan nya saya harap upwork lebih bijak lagi dalam memilih mana yang bener bener klien atau bukan penipu,"['banyak', 'scammernyamasa', 'mau', 'ambil', 'bayaran', 'nya', 'harus', 'deposit', 'dulu', 'udah', 'itu', 'bertelepon', 'tele', 'urusan', 'nya', 'saya', 'harap', 'upwork', 'lebih', 'bijak', 'lagi', 'dalam', 'memilih', 'mana', 'yang', 'bener', 'bener', 'klien', 'atau', 'bukan', 'penipu']","['scammernyamasa', 'ambil', 'bayaran', 'nya', 'deposit', 'udah', 'bertelepon', 'tele', 'urusan', 'nya', 'harap', 'upwork', 'bijak', 'memilih', 'bener', 'bener', 'klien', 'penipu']","['scammernyamasa', 'ambil', 'bayar', 'nya', 'deposit', 'udah', 'telepon', 'tele', 'urus', 'nya', 'harap', 'upwork', 'bijak', 'pilih', 'bener', 'bener', 'klien', 'tipu']",scammernyamasa ambil bayar nya deposit udah telepon tele urus nya harap upwork bijak pilih bener bener klien tipu
Anakin Lindwik,Great app,5,2023-06-15 11:26:57,0,positif,en,great app,great app,"['great', 'app']","['great', 'app']","['great', 'app']",great app
Amalia Gunawan,Masih banyak scam. Harus hati2,5,2023-06-08 14:01:47,0,positif,id,masih banyak scam. harus hati2,masih banyak scam harus hati,"['masih', 'banyak', 'scam', 'harus', 'hati']","['scam', 'hati']","['scam', 'hati']",scam hati
Ella Aquin Darma,Good platfrom for searching freelance job,4,2023-05-30 12:40:58,0,positif,en,good platfrom for searching freelance job,good platfrom for searching freelance job,"['good', 'platfrom', 'for', 'searching', 'freelance', 'job']","['good', 'platfrom', 'searching', 'freelance', 'job']","['good', 'platfrom', 'search', 'freelanc', 'job']",good platfrom search freelanc job
Pamor Balap,Mntabb,5,2023-05-25 13:04:08,0,positif,id,mntabb,mntabb,['mntabb'],['mntabb'],['mntabb'],mntabb
BERNANDUS DAULAT SIREGAR (BERNIE),it helps alot to make extra income while practicing another skill that is not a jobdesk in fulltime work which is also studied in vocation educational background,5,2023-05-25 08:35:49,0,positif,en,it helps alot to make extra income while practicing another skill that is not a jobdesk in fulltime work which is also studied in vocation educational background,it helps alot to make extra income while practicing another skill that is not a jobdesk in fulltime work which is also studied in vocation educational background,"['it', 'helps', 'alot', 'to', 'make', 'extra', 'income', 'while', 'practicing', 'another', 'skill', 'that', 'is', 'not', 'a', 'jobdesk', 'in', 'fulltime', 'work', 'which', 'is', 'also', 'studied', 'in', 'vocation', 'educational', 'background']","['helps', 'alot', 'make', 'extra', 'income', 'practicing', 'another', 'skill', 'jobdesk', 'fulltime', 'work', 'also', 'studied', 'vocation', 'educational', 'background']","['help', 'alot', 'make', 'extra', 'incom', 'practic', 'anoth', 'skill', 'jobdesk', 'fulltim', 'work', 'also', 'studi', 'vocat', 'educ', 'background']",help alot make extra incom practic anoth skill jobdesk fulltim work also studi vocat educ background
